m_mtrlalu;mtrakhir;blokno
33;50;I 05/037
183;186;RB03/002
171;183;RB03/009
6;6;PH15/006
361;400;CM16/007
9;9;CM12/032
268;280;CM16/016
148;171;CM07/006
569;600;CM16/008
10;11;CM12/009
202;202;CM15/029
2099;2152;I 01/032
193;7;WP19/036
250;252;WP19/011
443;488;WP17/058
329;345;BV01/019
581;610;A 05/016
340;340;BC /016
1281;1281;BV03/021
336;356;CM12/016
75;77;CM12/010
207;216;CM10/027
687;716;CM11/020
40;40;CM17/033
34;46;CM12/036
1627;1676;CM10/007
34;34;CM16/009
147;148;RB03/005
41;41;RB03/007
161;195;TK08/005
433;433;TP01/033
1521;1521;TN07/020
264;264;TJ01/016
258;258;TJ01/015
521;550;TM01/011
641;641;I 02/007
1391;1448;H 01/007
495;515;EW01/020
756;756;WL09/029
239;240;WL05/026
1808;1808;BC /002
405;472;SG03/022
117;118;W 02/031
86;11;BV03/016
710;752;BV02/016
319;335;B 12/018
404;410;B 11/050B
362;362;TB07/031
103;123;WP20/018
780;812;WP05/019
220;224;B /001
1164;1174;D 01/012A
1262;1303;C 05/006
295;418;H 03/005
638;754;J 02/007
25;25;B 02/050
12;13;I 05/036
184;190;J 03/008
454;454;CM17/021
279;297;CM12/003
144;144;CM10/015
182;189;CM12/015
314;334;CM09/035
802;829;B 02/028
1287;1287;GB03/012
167;167;I 08/011
8;8;PH15/007
29;29;PH11/003
331;340;RB03/010
127;135;J 02/023
292;329;A 03/010
179;188;B 12/016
73;75;CM12/007
7;7;CM12/023
17;17;CM16/017
251;257;I /020
54;54;J 01/045
229;235;WP07/030
237;274;H 05/005
78;79;BV01/020
401;441;B 12/032
15;15;CM07/012
153;169;CM12/002
408;468;CM06/007
428;438;TB09/039
442;442;TF06/012
678;20;TA05/007
102;102;TL01/005
1627;1628;H 03/028
36;41;B 01/025
395;396;WL07/016
6;6;CM10/026
8061;8369;UC /009
319;346;PH11/005
44;44;PH17/006
212;238;B 12/012
112;112;A 04/016
6;6;A 04/015
51;55;B 12/019B
532;628;BV01/021
476;502;BC /018
8;8;CM17/035
43;43;CM11/023
18;18;CM10/032
143;173;CM08/017
663;701;CM15/033
382;404;CM07/010
7;7;CM10/035
67;86;CM12/028
30;30;CM15/037
232;261;CM16/015
141;159;I 02/001
139;161;I 05/039
33;33;I 05/033
159;174;J 03/012
77;78;PH10/027
23;24;PH12/025
244;260;J 03/002
78;78;RB03/011
60;64;RA03/008
1354;1354;TN03/063
0;0;TH01/002
351;353;WP17/059
760;787;B 07/023
0;0;A 01/035
64;64;C 08/012
0;0;H 02/019
199;203;M 01/017
268;268;E 05/028
270;283;E 04/020
284;284;E 03/034
78;102;K 02/010
0;0;E 03/035
2;3;OW07/039
371;371;OW01/001
151;151;OW03/012
34;34;OW05/010
201;225;F 06/060
245;246;I 02/033
25;29;I 05/035
255;273;J 03/011
387;411;J 03/010
848;890;RA03/009
802;805;RB03/001
104;16;B 12/011
218;220;D 01/029
45;45;B 11/050A
30;31;BV02/015
197;221;CM11/051
186;186;NG05/010B
615;775;NF03/001B
485;485;NE05/002B
162;178;CM05/015
49;49;NF07/001B
2;14;NF06/020B
189;190;NF03/032B
16;16;CM10/033
8;8;NF07/019B
8;16;CM11/019
89;89;NG03/001B
16;16;CM08/030
6;9;CM11/039
368;416;D 06/001A
281;311;CM12/008A
320;320;AA04/010
153;177;A 05/021
194;194;A 05/016
53;113;TJ03/020
322;322;EW05/083
216;253;EW01/071
297;354;GE07/009
0;0;A 03/015
0;0;I 05/018
562;628;I 05/019
0;0;WP12/025
105;133;WP15/011
540;572;E 04/015
48;48;B 02/022
379;379;A 01/060
4;4;CM09/031
181;181;B 08/003
1400;1400;TB08/003
197;209;WP03/061
1538;1538;LK /001
2;2;NE02/031
2;2;NE05/002
1;1;NE02/070
0;0;NE10/011
1;1;NE11/021
3648;3652;NE11/021B
2;2;NF02/055
2;2;NE07/010
0;3;NE03/063
137;137;NE07/010B
170;170;NE03/063B
984;1013;K 08/001
364;364;TB03/003
535;618;K 01/006
1151;1193;M 01/016
0;0;L /001
135;136;B 11/050
210;225;BV01/023
119;127;B 12/015
135;151;BV01/012
6;6;B 12/019A
87;101;B 11/051A
159;159;B 11/051B
