m_mtrlalu;mtrakhir;blokno
1127;1145;E 02/047
720;735;E 02/048
102;126;E 02/049
779;789;E 02/050
2007;2007;E 02/051
1367;1413;E 02/052
2155;2170;E 02/053
1376;1400;E 02/054
126;148;E 02/056
934;955;E 02/057
67;93;E 02/058
1521;1527;E 02/059
39;39;E 02/060
2408;2408;E 02/061
217;241;E 02/062
552;564;E 02/063
700;700;E 03/006
645;742;E 03/010
1614;1646;E 03/011
847;868;E 03/012
468;481;E 03/014
660;680;E 03/015
80;84;E 03/016
1025;1050;E 03/017
90;107;E 03/018
552;553;E 03/019
626;640;E 03/020
1198;1228;E 03/021
1086;1119;E 03/022
60;60;E 04/002
1362;1400;E 04/003
2340;2383;E 04/005
424;457;E 04/006
2907;2907;E 04/007
699;701;E 04/008
257;257;E 04/009
442;444;E 04/010
1126;1141;E 04/011
848;869;E 04/012
1698;1718;E 04/014
335;343;E 04/017
494;512;E 04/018
930;964;E 04/019
36;43;E 04/020
319;320;E 04/021
911;963;E 04/022
39;39;E 04/023
284;293;E 04/024
1082;1090;E 04/025
1100;1100;E 04/026
522;535;E 04/027
285;285;E 04/028
773;788;E 04/029
915;915;E 04/030
1135;1135;E 04/031
240;255;E 05/002
925;930;E 05/003
1155;1180;E 05/005
50;50;E 05/006
590;595;E 05/008
825;825;E 05/009
260;263;E 05/010
454;454;E 05/011
118;118;E 05/012
560;588;E 05/014
2108;2155;E 05/015
2180;2222;E 05/016
313;320;E 05/017
1643;1711;E 05/018
660;676;E 05/019
207;207;E 05/020
21;21;E 05/021
576;576;E 05/022
2397;2440;E 05/024
738;738;E 05/025
861;873;E 05/026
45;46;E 05/027
295;326;E 05/028
795;795;E 06/001
157;172;E 06/002
472;472;E 06/003
1730;1749;E 06/005
85;85;E 06/006
391;418;E 06/007
556;556;E 06/008
301;311;E 06/009
1175;1208;E 06/010
503;503;E 06/011
222;222;E 06/012
812;825;E 06/014
557;579;E 06/015
625;638;E 06/016
845;845;E 06/017
880;890;E 06/018
1283;1294;E 06/019
1768;1799;E 06/021
86;93;E 06/022
356;363;E 06/023
2408;2473;E 06/024
997;1001;E 06/025
1761;1811;E 06/026
2262;2300;E 06/027
2408;2408;E 06/028
1920;1951;E 06/029
460;511;E 06/030
1384;1407;E 06/031
964;985;A 03/002
730;753;A 03/003
14;14;A 03/005
265;286;A 03/023
5;5;A 03/024
1307;1344;A 03/025
1667;1711;A 04/002
835;836;A 04/003
346;374;A 04/005
407;423;A 04/006
414;432;A 04/007
760;781;A 04/028
534;555;A 04/029
825;836;A 04/030
497;506;A 04/031
5563;5600;A 04/032
885;890;A 05/002
107;107;A 05/003
369;401;A 05/005
1583;1614;A 05/006
1159;1159;A 05/007
1311;1333;A 05/008
657;678;A 05/009
316;349;A 05/010
125;140;A 05/027
1385;1401;A 05/028
836;836;A 05/029
484;484;A 05/030
610;610;A 05/031
3489;3510;A 05/032
1955;1969;A 05/033
495;502;A 06/002
46;46;A 06/003
765;765;A 06/005
548;581;A 06/006
1054;1077;A 06/007
1274;1274;A 06/008
816;822;A 06/009
655;670;A 06/010
1165;1196;A 06/021
305;320;A 06/022
1113;1144;A 06/023
2468;2525;A 06/026
72;75;A 06/027
529;542;A 06/028
606;626;A 06/029
5777;5793;A 06/030
518;529;A 06/031
1088;1118;A 06/032
1338;1354;A 06/033
2289;2289;A 06/034
54;61;A 07/002
1265;1274;A 07/003
673;674;A 07/005
645;656;A 07/006
37;37;A 07/007
145;148;A 07/008
1216;1251;A 07/009
486;486;A 07/010
1206;1221;A 07/011
550;553;A 07/012
914;951;A 07/016
280;280;A 07/017
264;280;A 07/018
1374;1398;A 07/019
1321;1349;A 07/022
1988;2040;A 07/023
1094;1099;A 07/026
607;609;A 07/027
4938;4938;A 07/028
697;712;A 07/030
2088;2104;A 07/031
21;21;A 07/032
2202;2223;A 07/033
544;569;B 10/002
137;137;B 10/003
1576;1623;B 10/005
130;146;B 10/048
358;373;B 10/049
2020;2035;B 10/050
542;558;B 10/051
1426;1436;B 10/052
86;95;B 11/002
700;720;B 11/003
835;835;B 11/005
1600;1650;B 11/006
1161;1162;B 11/007
45;45;B 11/008
972;1003;B 11/053
132;141;B 11/054
1142;1167;B 11/055
596;610;B 11/056
7783;7798;B 11/057
514;517;B 11/058
1105;1105;B 11/059
2621;2621;B 12/002
1629;1629;B 12/003
1782;1807;B 12/005
0;0;B 12/006
1382;1400;B 12/007
949;970;B 12/008
3;3;B 12/009
259;282;B 12/010
376;384;B 12/047
2028;2071;B 12/048
510;511;B 12/049
1332;1358;B 12/050
289;312;B 02/023
1590;1621;B 02/024
1062;1062;B 02/025
1552;1561;B 02/026
2913;2934;B 02/027
636;680;B 02/028
766;786;B 02/029
80;82;B 02/030
2614;2614;B 02/031
456;462;B 02/032
133;202;B 02/033
0;0;B 02/034
662;662;B 02/035
150;150;B 04/005
221;232;B 04/006
931;953;B 04/008
840;854;B 04/009
709;731;B 04/010
191;217;B 04/011
813;829;B 04/015
462;486;B 04/016
1810;1825;B 04/017
750;765;B 04/018
883;914;B 04/019
1064;1088;B 04/020
744;757;B 04/021
740;758;B 05/007
632;632;B 05/008
1406;1436;B 05/009
1055;1081;B 05/010
655;675;B 05/011
657;664;B 05/012
263;294;B 05/014
112;112;B 05/017
572;586;B 05/018
219;219;B 05/019
1387;1387;B 05/020
