m_mtrlalu;mtrakhir;blokno
300;300;GG06/061
242;265;SG03/005
1031;1110;SG02/009
232;252;A 05/019A
366;395;EW01/027
587;629;SG02/002
107;120;SG02/023
167;178;D 03/017
282;311;D 03/005
618;679;H 07/002
1185;1197;TB08/020
2432;2508;TF03/001
514;519;ST08/001
982;1022;TF02/025
1223;1238;B 01/023
1245;1245;GE02/006
862;960;EW02/058
597;606;EW01/005
1279;1390;GA05/016
155;165;F 04/006
413;434;D 06/037
118;167;TA02/023
1133;1154;TN03/024
0;0;M 02/014
1247;1264;WL12/009
288;288;GG07/067
630;646;GG07/068
276;304;A 04/019
0;0;EW06/015
831;870;SG03/011
200;202;SG02/011
638;641;RA /023
338;354;SG02/003
614;656;EW11/003
5;5;D 03/016
364;365;H 07/100
25;25;I 02/012
237;249;I 05/017
650;679;I 06/020
274;298;I 06/030
512;552;I 07/011
190;211;I 09/010
73;73;I 09/006
146;170;D 03/018
19;19;D 03/019
214;227;I 05/012
164;180;I 06/022
0;0;TE08/065
190;190;B 01/006
888;906;WL11/017
0;0;B 01/011
0;0;B 01/012
0;0;B 01/016
0;0;B 01/017
306;306;TE08/025
1773;1826;K 03/015
585;585;A 04/008
1036;1128;PS04/008
27;27;WP05/027
899;899;B /002
1834;1864;WP07/023
4656;4708;BC /001
256;265;F 09/011
731;747;D 06/041
600;600;C 07/001
805;820;K 01/015
676;789;GE08/001
360;393;E 05/030
285;303;CM03/021
31;31;CM05/031
1283;1331;CM02/009
170;202;CM06/027
376;405;CM02/003
480;527;CM07/001
267;300;CM03/003
199;213;CM07/026
370;370;CM03/011
114;124;CM07/028
499;529;CM06/023
923;950;SG02/006
596;627;SG02/016
725;726;SG02/005
307;335;SG02/007
1576;1612;WP21/010
405;429;SG02/055
185;197;SG02/021
102;102;SG02/053
196;212;D 03/002
278;284;D 03/009
115;131;D 03/010
232;247;I 09/008
131;131;TJ05/017
0;0;TJ05/018
0;0;TC02/011
58;66;TP01/042
554;554;I 02/005
1136;1212;TC03/028
1058;1182;TE03/051
772;816;TN03/061
475;475;F 11/027
798;930;E 10/026
1009;1039;WL07/029
781;842;GG07/001
592;654;WP07/022
723;731;TB03/036
300;322;C 01/028
