m_mtrlalu;mtrakhir;blokno
2;2;NC09/017
1;1;NC09/066
1;1;ND01/029
21;21;ND01/006
4;4;ND01/052
162;176;ND02/053
0;0;ND02/068
0;0;ND02/056
1;1;ND02/005
2;2;ND03/019
32;32;ND03/029
191;208;ND03/061
214;237;ND06/038
13;13;ND07/011
10;10;ND07/030
8;8;ND07/007
4;4;ND08/023
15;59;ND08/027
83;89;ND09/030
2;2;ND09/009
21;21;ND09/035
7;7;ND10/016
1;1;W 01/025
146;155;W 01/026
322;344;BV06/001
1;1;W 01/031
260;276;W 01/027
650;650;C 01/047
181;182;D 06/053
438;438;F 09/021
181;215;CM11/017
2;2;CM12/008
2;2;CM12/012
59;59;CM12/027
59;59;CM12/011
63;64;CA /001
0;0;CA /002
110;119;CA /003
240;262;CM11/025
6;6;CM11/033
342;342;B 02/003
462;478;WP08/015
335;343;WP17/030
306;319;WP18/017
409;418;WP19/031
246;254;WP06/003
535;582;TD06/028
553;553;TF01/008
282;294;B 07/001
1;1;NA02/015
12;12;NA02/051
74;88;NA05/039
91;101;NA06/032
1;1;NA06/015
2;2;NA06/038
113;114;NA06/066
4;4;NA06/068
1;1;NA07/021
5;5;NA07/033
7;7;NA07/032
1;1;NA07/035
1;1;NA08/025
6;6;NB01/006
4;4;NB02/059
3;3;NB02/119
0;0;NB02/106
2;2;NB02/107
0;0;NB02/105
1;1;NB02/103
3;3;NB03/036
18;18;NB05/056
118;149;NB05/058
2;2;NB05/051
19;19;NB05/008
8;8;NB05/009
2;2;NB06/061
4;4;NB06/008
11;11;NB06/011
5;5;NB06/007
31;31;NB06/023
1;1;NB06/033
33;33;NB06/020
0;0;NB06/051
2;2;NB07/009
0;0;NB07/039
2;2;NB07/056
2;2;NB07/010
2;2;NB07/052
17;17;NB07/003
1;1;NB07/053
48;49;NB07/023
171;184;NB08/059
0;0;NB08/058
252;276;NB08/003
3;3;NB08/028
1;1;NB08/023
2;2;NB08/017
1;1;NB09/005
89;105;NB09/006
6;6;NB09/009
0;0;NB09/051
2;2;NC01/021
0;0;NC01/029
18;21;NC01/057
55;97;NA03/010
3;3;NC01/001
7;7;NC02/023
21;21;NC02/025
11;11;NC05/056
13;13;NC05/025
1;1;NC05/035
0;0;NC07/005
1;1;NC07/006
2;2;NC07/017
0;9;NC07/036
3;3;NC07/056
2;2;NC07/063
2;2;ND01/057
1;1;ND01/056
2;2;ND01/036
1;1;ND01/018
2;2;ND01/026
32;34;ND01/035
2;2;ND01/055
99;108;ND02/029
3;3;ND02/059
3;3;ND02/060
5;5;ND02/012
2;2;ND02/003
5;5;ND02/002
3;3;ND02/007
3;3;ND02/010
49;98;ND02/067
30;40;ND03/037
16;16;ND03/012
4;4;ND03/026
4;4;ND03/032
9;9;ND03/039
31;31;ND05/033
5;5;ND05/052
10;10;ND06/017
8;8;ND06/020
9;9;ND06/039
10;10;ND07/015
19;19;ND07/038
345;377;ND08/020
6;6;ND08/028
23;23;ND08/029
152;170;ND09/031
8;8;ND09/019
5;5;ND10/009
56;56;TA02/005
351;351;EW01/016
405;405;GC02/021
249;265;E 12/001
15;15;FG02/003
19;2;FG02/005
0;0;FG02/007
140;164;GG04/021
566;601;TB08/026
180;209;H 09/015
40;45;CM11/035
290;315;CM05/019
25;25;CM11/032
9;9;CM12/029
3;3;CM11/052
63;63;CB /005
2;2;CA /019
151;151;E 03/036
268;285;K 03/018
259;265;K 02/015
74;74;F 11/006
131;139;B 12/019
75;77;BV02/052
12;12;J 01/003
4;4;J 03/003
183;207;J 01/005
209;229;J 05/003
0;0;B 11/052B
5;5;B 11/051C
8;8;BV05/020
111;131;B 11/052A
51;55;G /022
66;114;RB05/001
1354;1354;LK /001
1;1;NB06/053
5;5;NA02/067
6;6;NB01/036
1;1;NB08/066
0;0;NB09/056
0;0;NB09/007
12;17;NB09/002
120;124;NC03/025
13;13;ND09/028
8;80;ND05/006
4;4;ND05/009
3;3;NB07/051
3;3;ND02/069
77;99;ND09/027
0;0;NB03/008
9;9;ND09/023
1;1;NA07/025
244;272;NB09/025
1;1;NB07/015
1;1;NB08/008
7;7;NA07/015
8;8;NA01/001
17;17;NA08/032
4;4;NA08/033
8;8;NC01/018
1;1;NC01/033
0;0;NC09/005
0;0;NC09/007
231;287;ND01/037
58;73;ND03/050
6;6;ND03/053
6;19;ND06/032
118;130;ND08/035
44;45;PH15/030
315;346;PH17/031
254;285;PH08/026
212;212;TB12/028
499;499;GF06/009
4;4;ND06/009
161;168;WL05/005
944;1017;TB03/007
520;580;TN05/015
439;462;EW06/058
381;400;GB02/021D
573;591;TK03/016
0;0;GA02/042
593;593;GE03/021
772;772;WL06/067
49;49;FG02/001B
3;3;FG02/002
0;0;MC /001
13;13;NC02/001
4;4;BV05/027
0;0;CM06/015
8;10;CA /025
13;16;CA /018
24;24;CB /009
3;4;CB /010
7;7;CB /011
2;3;CA /016
23;23;CB /001
246;246;H 09/035
105;117;KL /003
507;554;G 01/025
12;35;CG08/019
0;0;CG07/026
300;333;GA05/023
528;602;GE02/026
208;208;GC06/014
229;262;E 02/007
157;167;GC03/026A
33;33;J 03/009
11;12;PH17/032
44;48;RB03/008
4;4;NA01/005
0;0;NA02/092
205;206;NA03/008
6;6;NA06/010
3;3;NA07/017
3;3;NA08/021
2;2;NB02/039
1;1;NB06/050
10;10;NC01/058
8;13;NC03/028
27;27;NC07/007
2;2;ND01/020
5;5;ND01/021
24;35;ND03/058
5;5;ND03/060
4;4;ND05/007
17;17;ND07/005
6;6;ND09/007
27;49;ND07/033
1;1;ND09/006
3;3;NB07/018
4;4;NB07/017
3;3;ND05/008
0;0;NA07/020
3;3;NB09/028
137;137;C 03/005
198;203;E 02/026
293;357;PS03/009
359;453;WP02/071
357;369;ST03/023
333;333;WL10/005
2;2;CM11/005
4;4;CM11/002
36;37;CM17/009
0;0;CB /007
277;336;CB /002
56;64;CB /003
4;4;OW03/031
213;233;GG06/015
22;35;OW05/025
4;4;BV06/008
10;27;OW06/002
25;26;OW05/001
7;7;OW06/005
43;43;A 04/008
0;0;OW05/011
43;52;J 02/015
116;116;J 02/006
3;3;NA06/023
6;6;NA06/025
14;14;NA07/051
16;16;NA07/050
3;3;NB02/028
185;201;NB06/030
0;0;NB06/052
13;15;NC05/008
2;2;ND06/007
11;11;ND08/030
3;3;ND09/011
29;29;CG07/018
34;34;CM08/016
920;62;SG02/051
290;290;TM03/015
205;210;TN03/052
305;309;K 07/027
12;12;D 01/020
0;0;GB03/006
2153;2162;I 02/007
1051;1073;LK /002
119;137;B 12/027
0;0;TF04/020
426;426;GG03/006
1;1;RB05/002
4;4;NB09/021
4031;4336;CB /005
346;360;CM09/021
635;635;OW09/002
4;6;OW07/008
5;5;OW07/003
9;9;OW06/008
11;11;OW06/001
4;27;OW07/001
2;3;OW07/002
12;13;OW07/007
10;10;CM11/053
19;19;CM08/015
214;238;CM06/016
22;25;CG06/021
56;69;CM15/026A
11;11;CG06/022
15;15;I 05/031
13;14;J 01/008
8;8;PH08/019
6;10;PH08/011
87;107;PH08/021
16;16;PH08/008
114;139;PH17/003
13;13;CA /009
3;5;NB01/015
3;3;NB01/016
6;6;NB01/032
16;16;NB03/023
37;37;NB06/012
7;7;NB08/050
10;10;NB08/021
244;253;NC01/016
2;2;NC01/023
0;0;ND01/058
3;3;ND01/038
272;322;ND02/062
125;125;ND05/037
0;0;ND07/001
14;14;ND09/008
400;427;TB05/006
408;458;TA01/024
0;0;CLUE/001
254;254;CLUE/002
18;18;CB /016
168;215;J 01/003
0;0;GA01/001
481;481;A 01/019
220;253;D 01/025
257;262;E 02/022
208;229;D 06/010
296;296;OW05/009
156;167;DR01/006
67;80;H 09/016
339;377;D 01/021
796;848;CB /053
1669;1721;CB /019
113;113;CG10/009
81;285;NV01/001
927;1138;NV03/001
4098;5162;NV07/001
0;0;RM /001
142;303;NH /015
53;57;NH /015B
96;150;NH11/033B
479;509;NE /001
23;23;CM05/023
42;42;NA01/006
3;4;NA03/012
14;14;NA06/067
2;2;NB02/018
2;2;NB06/056
1;1;NB07/037
5;6;NB08/006
4;4;NB08/065
5;5;NB09/010
0;0;NC07/003
0;0;NC07/057
145;180;ND02/019
2;2;ND02/057
7;7;ND05/051
12;17;ND09/020
37;48;ND09/021
776;776;W 03/015
183;183;TF04/003
300;300;TF06/001
0;0;TB08/021
246;293;EW05/015
0;0;GB02/006
311;348;TK09/003
119;123;E 04/040
