m_mtrlalu;mtrakhir;blokno
1860;1897;H 11/037
0;7;KK /010
1023;1053;TF04/009
180;194;GV06/029
53;55;B 12/021
182;201;TE08/050
262;280;E 04/041
402;402;A 03/015
726;726;A 03/016
1298;1328;A 02/056
619;653;A 03/010
1357;1392;GC03/011
2143;2237;TK03/021
1991;2030;TM03/021
725;750;TK08/008I
0;0;F 05/012
506;548;EW06/077
622;668;TN05/019
379;385;AA01/007
66;78;D 01/018
223;240;H 11/039
4780;4780;TE08/039
306;311;KK /002
1615;1615;TE08/055
268;269;KK /008
156;156;TE08/057
251;272;EW08/003
230;255;Q 01/021
1592;1614;WL02/038
1083;1097;WL07/039
751;765;C 04/008
533;546;AA01/041
1531;1651;TB09/020
1002;1023;TK03/061
9500;9654;GA07/018
297;318;TK03/041
224;287;FG /019
1703;1703;FJ /0H2
3820;3864;WL07/053
2812;2849;WL06/021
875;893;WL03/001
669;669;K 03/005
394;414;B 02/051
390;434;A 02/003
0;0;K /001
1074;1096;E 09/006
230;250;Q 02/016
1425;1449;TD02/029
203;241;B 07/030
946;983;W 01/018
1151;1177;EW10/022
0;0;K /002
2183;2183;KK /001
0;0;K /003
148;156;W 02/017A
0;0;K /003A
484;491;Q 01/051
1318;1318;W 01/022
0;0;K /005
0;0;K /006
2193;2194;W 02/036
0;0;K /007
0;0;K /008
0;0;K /009
872;895;KT05/010
0;0;K /010
261;261;A 04/011
716;716;E 09/009
547;564;CM15/006
2686;2686;Q 01/050
0;0;K /011
0;0;H /011
0;0;H /012A
195;195;H /012
0;0;K /012A
446;487;Q 02/003
110;110;GV02/025
0;0;D /001
0;0;K /014
642;656;GV06/026
0;0;D /002
0;0;K /015
315;339;AA05/015
1092;1092;H 11/038
0;0;K /016
0;0;K /017
0;0;K /018
0;0;K /019
0;0;K /020
0;0;K /021
0;0;K /021A
0;0;K /023
0;0;K /024
0;0;K /025
0;0;K /026
0;0;K /027
0;0;K /028
0;0;K /029
0;0;K /030
0;0;K /031
0;0;K /032
0;0;K /033
0;0;K /034
0;0;K /043
0;0;K /044
0;0;K /045
0;0;K /046
0;0;K /047
0;0;K /048
0;0;K /049
0;0;K /050
0;0;K /051
0;0;K /052
0;0;K /053
0;0;K /054
0;0;K /055
0;0;K /056
0;0;K /057
0;0;K /058
29;31;L /012A
0;0;L /015
0;0;L /020
0;0;L /021
0;0;L /022
10;10;CM15/002
0;0;L /023
0;0;L /024
0;0;L /025
0;0;L /026
0;0;L /027
0;0;L /028
0;0;L /029
0;0;L /030
0;0;L /031
15;22;L /032
176;178;L /033
150;159;L /034
0;0;L /035
0;0;L /036
49;52;L /037
101;105;L /038
4;4;W 01/032
920;933;L /039
493;497;L /040
327;331;L /041
128;132;L /042
0;0;L /043
1078;1092;L /044
0;0;L /045
0;0;L /047
0;0;L /048
0;0;L /049
0;0;L /050
0;0;KD /041
391;398;KD /044
324;351;KD /046
0;0;KD /051
0;0;L /052
0;0;L /053
0;0;L /054
25;44;L /055
0;0;L /056
1522;1540;L /057
0;0;L /058
0;0;L /059
0;0;L /060
0;0;L /061
0;0;L /062
0;0;L /063
0;0;L /064
0;0;L /065
0;0;L /066
194;194;CM15/007
0;0;L /067
0;0;L /068
0;0;L /069
0;0;L /070
0;0;L /071
0;0;L /072
0;0;L /073
0;0;L /074
0;0;L /075
0;0;L /076
0;0;L /077
0;0;L /094
0;0;L /095
0;0;L /099
0;0;L /088
0;0;L /096
0;0;L /091
0;0;L /098
0;0;L /093
0;0;L /097
0;0;L /092
188;188;KL /001
810;918;KL /006
185;189;S /001
648;653;S /002
100;101;S /003
160;160;S /003A
169;171;S /005
180;180;S /006
301;306;S /007
919;935;S /008
797;801;S /009
111;112;S /010
276;278;S /011
537;539;S /012
169;170;S /014
102;102;S /015
188;190;S /016
256;258;S /020
71;72;S /021
513;521;S /023
1627;1649;DR02/021A
468;476;DR02/021
589;592;DR06/017
57;58;CM15/003
1550;1550;DR06/018
1014;1032;DR06/019
2048;2106;DR06/020
122;137;B 10/033
629;641;D 01/008
1541;1560;TK06/019
1831;1857;TF04/021
367;386;TC02/014
1623;1733;E 01/008A
740;766;WL15/011
691;694;B 02/002
1126;1126;D 01/003
396;416;A 03/021
3302;3360;F 01/031
1479;1545;J 03/008
2656;2719;GG03/027
608;645;A 05/025
28;35;L /014
0;0;F /002T
0;0;K /006T
0;0;K /007T
9418;9657;TX /010
0;0;F 02/053
313;335;F 02/054
106;106;GV03/016
1657;1697;GV06/009
421;439;GV07/012
152;152;GV03/019
218;233;GV03/026
301;304;GV07/010
1106;1128;E 09/016
266;268;E 09/033
1034;1034;WL03/007
290;290;WP17/005
211;212;WP18/003
805;809;W 02/035
314;314;W 01/017
378;402;GV06/020
1323;1353;GV06/005
431;469;MC /012
3183;3215;D 01/026A
692;740;TB06/005
97;119;WL07/050
520;567;TE08/038
1651;1788;I 08/001
1916;1949;WL11/070
148;164;WL02/081
1114;1125;TL04/007
220;236;H 11/011
677;689;TK03/009
341;375;D 02/002A
1093;1119;GF01/078
451;452;GV03/005
1311;1342;Q 03/025
2320;2320;MC /029
2511;2511;MC /002
1085;1121;MC /007
847;847;E 08/016
1189;1212;E 09/010
797;808;TK08/008H
273;277;B 06/021
602;616;TK08/017
7037;7037;CB /003
476;514;TK08/018
1227;1230;TE03/006
885;912;TF04/022
838;845;FJ /0I2
744;756;AA02/003
1433;1462;B 12/046
972;992;D 01/035
933;953;B 10/019
3014;3034;A 01/018
1410;1442;C 07/009
508;535;TK03/025
54;103;F 03/029
5394;5431;E 09/032
86;86;KK /007
596;620;C 02/037
38;53;Q 02/001
376;385;B 11/032
1013;1040;TB10/043
1852;1884;Q 03/007
237;249;A 01/060B
357;359;Q 03/028
281;305;AA05/001
269;286;H 10/019
3597;3597;D 01/019A
1366;1400;H 11/021
663;714;H 11/023
883;901;D 01/015
233;250;D 01/019
9;24;B 02/068
2909;2941;E 09/017
393;394;W 01/012
3653;3706;WL07/021
1361;1388;WL15/015
1860;1897;WL15/012
210;217;E 04/037
420;474;K 02/026
38;43;E 04/028
281;284;D 05/021
1346;1449;GA07/006
2539;2589;TK02/022
1267;1287;TK02/021
149;149;TK03/012
1679;1764;I 02/002
69;76;C 05/008
867;904;H 03/032
976;998;GV03/031
459;468;GV07/007
568;568;W 01/006
547;564;TB11/030
1041;1055;A 06/023
1274;1300;D 02/002
699;719;B 02/001
484;511;B 02/065
2110;2125;TC04/009
578;587;TF02/033
1091;1144;TE01/027
532;603;TX /001
2410;2456;TM02/008
