m_mtrlalu;mtrakhir;blokno
560;572;A 02/083
971;992;TK06/005
7129;7285;RP08/012
1537;1575;AA01/008
141;152;H 10/035
1289;1339;K 05/032
96;96;AA01/020
2896;2977;E 03/009
945;960;H 09/032
140;140;K 02/051
676;676;F 04/006
580;588;PS05/006
229;237;B 01/005
925;975;WL01/066
559;579;C 06/001
2164;2275;E 02/022
5583;5613;EW01/010
322;350;EW08/006
1073;1098;EW09/017
913;913;B 01/010
1164;1187;C 04/014
2510;2583;TB07/003
331;397;TB10/032
1200;1231;TB10/033
426;434;M /007
1076;1102;TK07/012C
2717;2717;TK09/019
344;370;TD02/032
37480;37480;KR /001
89272;89512;KR /002
196;205;TK03/006
731;799;WP07/003
1063;1089;B 11/017
2459;2626;TE08/064
630;672;TK03/080
2461;2488;DR03/018
301;309;WP01/050
3064;3156;TB11/016
868;973;I 01/015A
125;125;TE08/003
37104;37271;L 01/003A
663;704;F 07/007
56;58;F 07/008
243;243;F 07/009
90;90;F 07/010
562;566;F 07/011
115;117;F 07/012
11;11;F 07/012A
265;290;AA01/023E
346;365;F 02/005
959;989;H 10/056
53;53;K 01/019
163;171;A 05/023
698;713;K 04/020
1133;1141;D 06/032
909;962;H 01/001
117;124;H 09/028
277;299;H 10/005
2566;2607;H 10/050
953;953;K 05/005
262;262;AA01/023
875;890;C 05/021
718;720;D 02/007
934;942;A 03/011
715;726;H 10/009
100;125;K 01/057
386;416;WL15/031
5;5;RB02/005
695;699;TK08/008A
93;99;RB02/006
2038;2102;RA02/011
134;134;RA02/012
482;501;RA02/003
100;130;FG /006
34583;34758;DH /011
72315;72887;DR01/015A
983;1024;DR03/007
2069;2091;DR03/009
291;294;A 01/010
234;253;TE08/001
417;419;TB11/019
1416;1416;TK07/012L
1610;1638;TK07/012B
497;603;TE08/061
311;311;I /005H
1032;1076;I /005C
952;970;WL09/016
181;192;RB02/003
331;352;H 10/051
1686;1706;C 04/015
844;867;H 10/039
839;840;H 10/052
1479;1512;H 10/028
188;188;H 08/003
1708;1733;H 10/030
26;72;H 09/027
514;528;H 10/029
1795;1819;H 10/031
350;378;F 02/086
748;798;C 08/001
859;897;TH04/011
688;701;B 02/040
1235;1280;B 01/025
865;879;H 10/025
280;280;K 02/052
507;507;H 06/007
387;397;E 02/017
1337;1350;TF03/032
494;519;TK01/006
163;163;K 04/005
492;500;TK04/016
737;797;A 02/091
2729;2798;TB11/027
1093;1112;C /001
445;497;TE08/012
1277;1298;DR02/001
1740;1740;DR02/039
999;1031;WP06/070
3835;3864;DR03/001
1939;1962;DR03/003
1906;1936;TE08/002
4020;4072;DR03/005
2957;3037;DR03/025
17;17;DR03/027
2706;2753;DR05/002
2423;2475;DR05/003
926;939;DR06/002
3593;3644;DR02/005
1401;1420;DR02/006
1018;1044;DR02/020
2446;2518;DR02/022
1526;1568;DR02/033
1411;1421;DR02/035
946;969;DR02/036
1488;1532;DR03/006
3187;3231;DR03/022
1599;1617;DR03/002
5265;5276;TK03/002
487;513;TK03/037
76;77;RB02/012A
1075;1095;H 10/006
184;193;H 10/007
735;735;K 05/006
1375;1382;H 09/006
1203;1216;AA02/017
1048;1062;D 02/015
245;268;H 10/036
345;345;F 07/002
818;825;RB02/008
1171;1192;E 02/044
388;391;D 03/002
662;685;TK07/012I
639;674;TM03/010
655;657;TK07/012J
0;0;B 07/027A
1479;1511;PS01/050Q
35742;35765;B 03/006
81;88;DR02/038
1224;1224;DR02/037
2628;2628;TL03/016
2159;2184;H 10/055
479;509;AA02/018
860;875;RB02/007
1391;1431;TB06/007
786;801;M /001
1147;1183;TE08/005
1022;1022;TJ15/002
2657;2661;HOLE/019
299;299;E 02/016
1468;1485;AA02/007
360;376;B 01/027
680;699;B 01/029
1419;1423;TE08/062
9701;9963;TJ01/017
979;979;B 01/019
1724;1739;I 02/009
75;75;TK09/020
1033;1033;TB11/020
2109;2165;TB11/028
144;153;TB11/025
1970;1970;WL02/057
243;251;A 01/002
373;547;A 01/008
109;111;A 01/009
159;159;DR02/031
2404;2463;GA03/014B
95;130;K 05/019
11;11;RA02/005
319;319;TK04/031
1925;1959;TK08/009E
157;170;TB10/023
2212;2212;TB10/024
1290;1350;WP03/052
2426;2466;DR03/011
2085;2085;D /014
636;636;TK09/032
1148;1200;RB02/001
978;998;TK03/017
3625;3690;TA04/012A
2318;2320;TE08/027
552;584;E 06/021
3333;3377;TJ01/019A
5218;5218;C 02/019
2604;2780;H 03/011
1315;1334;A 04/003
678;684;TB11/036
1917;1957;TB11/018
849;864;M /003
1437;1437;TD02/031
730;744;H 09/030
4028;4169;TB03/016
513;527;WL07/063
2316;2358;A 03/012
435;462;PS01/025
820;820;A 02/055
149;157;A 04/003
292;309;WL07/019
131;139;K /001
717;766;GB03/010
659;686;TK04/030
2285;2348;DR03/012
632;652;TK07/012M
3900;0;WP16/008
1008;1035;TK07/008
244;264;WL09/008
196;211;EW09/008
83;88;EW10/015
728;729;K 04/023
223;243;A 05/026
2739;2784;TJ05/009
6900;6932;D 01/024
5542;90;TJ05/003
3332;3343;TJ02/038A
278;301;AA02/016
0;0;F /001T
0;0;C /018T
832;832;A 03/022
670;730;DR03/023
1180;1180;TK08/011
118;118;PS03/006
1397;1412;A 04/009
3441;3505;TB06/021
267;288;A 05/031
361;363;H 08/096
733;751;H 10/053
8147;8147;TK01/002
1060;1142;G 01/009
1221;1251;GC02/027
408;422;GC02/024
434;452;EW10/012
614;615;EW09/016
182;201;EW09/020
5552;5558;TC04/003
1564;1564;WK /001
233;251;WP07/005
789;789;AA02/012
871;892;H 08/098
141;164;AA02/015
1288;1307;H 09/029
2154;2196;H 09/031
1214;1273;FG /007
790;805;E 04/036
48;49;F 07/005
1143;1143;D 01/002
1774;1830;TF02/005
350;371;TK03/010
1402;1429;GE08/010
1820;23;B 01/056
717;727;K 03/011
4526;4526;K 01/024
976;1003;EW09/019
212;229;B 10/010
171;195;TF03/012
1597;1598;EW10/021
1271;1317;B 11/023
126;148;K 04/015
494;503;D /015
3063;3063;A 02/010
2288;15;TK06/025
1365;1395;PS05/017
39;39;H 08/100
121;140;A 03/020
411;419;A 02/029
1024;1042;TK06/021C
850;892;PS04/010
392;407;E 02/047
1100;1110;E 02/042
1197;1222;C 04/017
526;544;RB02/010
1324;1361;A 06/025
496;509;D 06/028
906;926;D 06/029
105;115;D 06/030
567;629;RB02/011
135;135;C 04/018
586;586;TB11/022
1433;1433;E 01/043
525;575;TL04/003
324;346;EW09/012
1128;1189;I 02/007
77;80;EW09/015
950;961;TJ01/026
805;828;K 03/007
2191;2264;TE08/053
782;787;A 01/007
125;125;KT03/010
1063;1063;F 07/006
4101;4131;DR02/007
0;0;WP16/007
1012;1019;A 06/027
527;559;WP01/051
1075;1090;PS05/016
1681;1687;PS05/012
292;295;A 01/003
443;459;W 01/010
1420;1426;W 01/011
16;16;TD02/017
2190;2231;TD02/018
875;892;WP06/072
1175;1208;TB06/010
1345;1372;A 01/026
865;901;EW01/006
228;238;TJ11/008
259;260;M /009
319;338;TL04/036
206;212;EW09/018
342;350;RA02/015
2314;2363;TH03/001
616;641;TH03/019
890;913;TK08/016
949;1013;TK06/020
2809;2887;TA03/001
501;547;TA05/001
960;960;Q 02/019
26;26;A /009
1225;1245;TB05/011
1087;1183;PS01/050P
610;646;TK03/049
149;156;PS01/050K
239;258;F 03/015
964;975;W 02/018
898;920;TE08/060
