m_mtrlalu;mtrakhir;blokno
1115;1144;TJ10/003
248;274;TJ11/005
754;818;TL03/022
115;130;TL03/027
281;297;TL02/057
1038;1067;C 05/010
1211;1229;PS02/037
1269;1307;PS01/047
2202;2224;C 04/025
497;505;C 06/008
615;632;C 05/009
812;838;TJ09/015
427;434;TJ04/017
1330;1334;TJ09/025
372;376;TJ04/018
950;978;B 01/032
2242;2298;A 01/017
1067;1067;C /008
1545;1579;F 01/018
398;408;F 01/017
743;757;F 01/015
1649;1649;F 02/016
1369;1385;F 01/014
1939;19;G 01/010
516;556;G 01/020
3129;3129;TJ01/005
1603;1635;TJ01/039
342;375;TJ06/035
513;513;TJ09/023
514;555;TJ06/032
2337;2342;TJ09/018A
2067;2116;TJ09/003
386;413;TJ07/006
395;736;TL02/046
1007;1037;TJ09/024
1104;1124;TJ06/016
1373;1397;TJ09/012
1379;1381;TJ07/010
2013;2063;TJ07/020
1165;1189;TJ07/021
1405;1422;TJ07/023
431;456;TJ07/024
1526;1563;TJ06/006
499;499;PS02/028
809;856;PS02/027
1305;1322;PS02/010
477;487;PS02/008
44;44;E 11/006
1431;1446;E 11/007
316;321;E 11/008
8;8;E 11/009
1007;1024;E 11/010
87;91;E 11/011
700;710;E 11/012
1008;1010;E 11/014
0;0;E 11/015
1054;1073;E 11/016
507;517;E 11/017
55;55;E 02/026
1680;1680;E 02/027
227;247;E 02/028
1183;1201;E 02/029
3798;3802;E 02/030
219;239;E 02/031
355;384;E 02/032
428;459;E 02/033
564;585;E 02/034
32;32;E 02/037
1172;1178;E 02/038
65;67;E 02/039
101;109;E 02/040
215;229;E 02/041
2072;2087;E 02/042
1836;1836;E 02/047
982;1003;E 02/048
1726;1739;E 02/049
1154;1178;E 02/050
185;197;E 02/053
1888;1888;E 03/002
296;330;E 03/003
69;69;E 03/005
707;724;E 03/006
2449;2449;E 03/007
205;221;E 03/008
400;400;E 03/011
205;220;E 03/012
1209;1236;E 03/014
260;297;E 03/015
89;94;E 03/016
865;884;E 04/002
238;251;E 04/005
320;328;E 04/006
471;487;E 04/007
3505;3505;E 04/008
1603;1632;E 04/009
190;190;E 04/010
2429;2429;E 04/011
278;278;E 04/012
2880;2900;E 04/014
1276;1312;E 04/015
272;303;E 04/016
72;80;E 04/017
662;677;E 04/018
480;480;E 04/019
2560;2621;E 04/030
