m_mtrlalu;mtrakhir;blokno
902;904;A 02/027
137;146;A 02/028
757;775;A 02/028
411;419;A 02/029
426;465;A 02/029
1048;1052;A 02/030
503;536;A 02/030
0;0;A 02/030
1245;1245;A 02/031
0;0;A 02/031
0;0;A 02/031
756;771;A 02/031A
762;771;A 02/032
591;604;A 02/032
0;0;A 02/032
980;1002;A 02/033
444;471;A 02/033
1449;1467;A 02/034
557;557;A 02/034
375;394;A 02/035
901;927;A 02/035
1803;1838;A 02/036
1032;1032;A 02/036
0;0;A 02/037
215;243;A 02/038
0;0;A 02/038
1196;1213;A 02/039
0;0;A 02/039
168;198;A 02/040
158;158;A 02/041
93;104;A 02/042
0;0;A 02/042A
0;0;A 02/042B
175;175;A 02/043
0;0;A 02/044
888;917;A 02/045
3129;3129;A 02/046
0;0;A 02/046
685;697;A 02/047
525;525;A 02/047
186;218;A 02/048
1174;1204;A 02/048
756;771;A 02/049
242;242;A 02/049
1479;1524;A 02/050
38;93;A 02/050
216;217;A 02/051
600;600;A 02/051
0;0;A 02/052
0;0;A 02/052
1851;1894;A 02/053
283;294;A 02/053
424;441;A 02/054
0;0;A 02/054
820;820;A 02/055
0;0;A 02/055
0;0;A 02/055A
1014;1036;A 02/056
1298;1328;A 02/056
0;0;A 02/056A
1260;1290;A 02/057
362;362;A 02/057
2413;2457;A 02/058
334;353;A 02/058
1365;1391;A 02/059
0;0;A 02/059
2931;3024;A 02/060
0;0;A 02/060
953;953;A 02/061
1247;1247;A 02/061
557;557;A 02/062
846;846;A 02/062
920;948;A 02/063
170;183;A 02/063
2679;2679;A 02/064
0;0;A 02/064
1050;1111;A 02/065
193;215;A 02/066
3048;3099;A 02/067
2501;2566;A 02/068
1688;1688;A 02/069
1413;1434;A 02/070
1656;1667;A 02/071
1895;1930;A 02/072
484;527;A 02/073
1428;1471;A 02/074
230;230;A 02/075
1170;1200;A 02/080
1210;1238;A 02/081
386;421;A 02/082
560;572;A 02/083
895;918;A 02/084
667;667;A 02/085
185;207;A 02/086
3151;3151;A 02/087
497;503;A 02/088
316;343;A 02/089
739;739;A 02/090
737;797;A 02/091
2149;2179;A 03/001
95;95;A 03/001
0;0;A 03/001
0;0;A 03/001
964;985;A 03/002
2249;2250;A 03/002
2418;2545;A 03/002
0;0;A 03/002
730;753;A 03/003
478;478;A 03/003
0;0;A 03/003
0;0;A 03/003
0;0;A 03/003A
14;14;A 03/005
2080;2080;A 03/005
1500;1539;A 03/005
0;0;A 03/005
677;687;A 03/006
373;403;A 03/006
0;0;A 03/006
1170;1195;A 03/007
1719;1794;A 03/007
208;222;A 03/007
117;166;A 03/008
59;59;A 03/008
0;0;A 03/008
3753;3753;A 03/009
777;777;A 03/009
0;0;A 03/009
8;33;A 03/009A
1516;1549;A 03/010
619;653;A 03/010
854;854;A 03/010
292;329;A 03/010
9835;9879;A 03/011
1159;1181;A 03/011
934;942;A 03/011
45;114;A 03/011
2316;2358;A 03/012
348;379;A 03/012
0;0;A 03/012
0;0;A 03/012
0;0;A 03/012A
2972;3031;A 03/014
0;0;A 03/014
0;0;A 03/014
706;720;A 03/015
402;402;A 03/015
0;0;A 03/015
788;813;A 03/016
726;726;A 03/016
0;0;A 03/016
415;422;A 03/017
1906;1936;A 03/017
44;44;A 03/017
0;0;A 03/017
609;624;A 03/018
43;68;A 03/018
399;409;A 03/018
0;0;A 03/018
144;144;A 03/019
630;655;A 03/019
214;217;A 03/019
0;0;A 03/019
2879;2879;A 03/020
121;140;A 03/020
178;195;A 03/020
0;0;A 03/020
3014;3016;A 03/021
396;416;A 03/021
904;904;A 03/022
832;832;A 03/022
0;0;A 03/022
265;286;A 03/023
908;926;A 03/023
5;5;A 03/024
334;334;A 03/024
690;690;A 03/024
1307;1344;A 03/025
1792;1836;A 03/025
0;0;A 03/025
2090;2154;A 03/026
631;638;A 03/026
0;0;A 03/026
128;142;A 03/027
1300;1303;A 03/028
2360;2389;A 04/001
203;203;A 04/001
52;69;A 04/001
0;0;A 04/001
0;0;A 04/001
1474;1478;A 04/002
1667;1711;A 04/002
146;148;A 04/002
0;0;A 04/002
0;0;A 04/002
835;836;A 04/003
114;118;A 04/003
1315;1334;A 04/003
149;157;A 04/003
0;0;A 04/003
0;0;A 04/003A
346;374;A 04/005
549;551;A 04/005
556;563;A 04/005
0;0;A 04/005
398;417;A 04/006
649;685;A 04/006
407;423;A 04/006
373;389;A 04/006
0;0;A 04/006
2944;3065;A 04/007
1153;1180;A 04/007
414;432;A 04/007
859;879;A 04/007
0;0;A 04/007
574;590;A 04/008
1122;1154;A 04/008
17;17;A 04/008
585;585;A 04/008
43;43;A 04/008
7980;7983;A 04/009
535;548;A 04/009
1397;1412;A 04/009
93;95;A 04/009
0;0;A 04/009
520;524;A 04/010
1080;1098;A 04/010
1374;1467;A 04/010
322;328;A 04/010
301;314;A 04/011
164;178;A 04/011
261;261;A 04/011
0;0;A 04/011
123;136;A 04/012
1073;1093;A 04/012
351;351;A 04/012
0;0;A 04/012
573;614;A 04/012A
434;447;A 04/014
535;546;A 04/014
0;0;A 04/014
406;449;A 04/015
6;6;A 04/015
0;0;A 04/015
0;0;A 04/015
