m_mtrlalu;mtrakhir;blokno
1210;1243;L 01/003
482;523;GF05/021
794;794;GF05/023
319;342;B 08/024A
1706;1886;WP06/039
1610;1639;TF02/007
193;195;WP02/057
1964;2003;GA08/008
129;170;WP07/009
1765;1784;EW06/063
857;908;TE04/016
3;8;WP07/008
1306;4;B 04/009
75;75;KL /003A
697;697;E 10/009
677;678;C 02/012A
893;969;TB11/041
35;39;TB09/010
901;945;TK04/041
241;241;TB09/053
1874;1915;PS04/003
1022;1025;TB09/056
201;207;TJ10/011
735;801;A 02/012
769;800;F 08/001
130;138;AA03/015
287;300;AA02/027
3461;3518;A 04/020
665;665;MP02/001A
66;66;MP01/002A
384;398;TL06/005
979;1022;TL06/006
216;236;Q 01/008A
810;856;TL05/012
356;376;GG05/012
278;287;GG06/003
33;33;GF08/029
805;837;GF08/025
1023;1083;GF08/031
1;1;GG06/067
98;105;GF08/007
179;199;ST09/007
457;479;ST10/030
513;542;ST07/007
394;418;K 07/008
35;37;RG02/015
682;694;RW02/011
218;218;RG02/002
549;549;K 06/017
118;130;H 12/032
110;121;RW02/015
385;385;WL11/007
103;103;AA01/043
1037;1120;WL12/016
356;390;C 02/082
1215;1283;TM02/002
1198;1247;TB03/005
537;580;TD03/009
480;490;TH03/007
445;476;TF04/005
685;762;TF03/025
848;970;JJ /001
377;386;PS01/053H
3265;3342;TB09/032
2345;2345;TB04/021
1096;1153;I 01/007
862;862;GF03/017
387;416;GG04/027
250;267;DR05/016
428;447;TD06/008B
4123;4235;B 02/022A
453;453;D 03/003
434;434;F 01/007
809;822;F 01/007A
635;703;ST10/008
356;458;ST10/027
387;427;EW03/030
1076;1099;MP03/001
321;339;ST10/026
390;391;MP02/028
749;766;TL05/033
280;306;GF08/036
250;275;ST07/008
506;519;GG06/063
38;38;ST07/005
559;598;K 09/002
374;397;E 06/003
69;69;H 15/002
819;838;E 06/010
11;11;RW02/018
453;487;E 07/021
854;854;A 03/010
295;307;F 05/014
117;117;C 02/069
579;628;TA01/025
1174;1191;TN07/008
2003;2051;TN03/005
352;380;Q 01/052
474;496;EW06/069
104;104;M 01/019
0;0;M 01/020
963;1006;M 08/008
2504;2528;M 03/006
217;232;B 02/024B
2283;2317;TB09/043
416;431;TB12/026
1014;1082;GC07/049
83;92;TL02/003
0;0;TL02/002
365;368;H 15/008
623;695;E 02/049
1143;1164;K 02/063
139;139;E 06/015
705;705;E 06/011
233;253;H 15/009
479;500;MP03/028
623;623;MP04/001
528;576;EW05/028
177;177;TL06/008
11;11;TL05/031
585;633;TL05/036
554;586;GG05/016
476;477;ST07/024
1749;1817;ST06/023
1246;1263;WP17/002
1510;1543;WL02/095
7;7;WL02/008
1132;1133;H 08/019
1093;1122;K 05/007
1340;1360;E 04/043
0;0;C 02/055
605;627;GV02/026
2030;2054;GE06/025
1774;1819;TB12/029
488;524;TJ07/007
286;301;H 08/018
1159;1199;H 10/022
1402;1422;ST06/025
4697;4738;TB02/021
788;861;C 01/027
554;614;C 03/011
16;16;K /042
52;53;GF07/027
