m_mtrlalu;mtrakhir;blokno
2300;2349;C 06/014
311;333;TL03/047
710;742;PS02/039H
2454;2525;TB07/034
2346;2395;TB03/039
462;471;I 01/007
278;296;D 01/023A
614;629;PS01/050A
1081;1097;PS01/050I
2816;2831;C 03/006
850;850;C 06/038
719;719;C 01/048
1206;1212;C 05/033
759;759;C 04/033
846;846;A 02/062
283;289;A 05/027
316;316;J 02/024
536;580;J 02/033
1282;1319;A 06/002
0;0;K 02/021
1039;1039;K 04/006
91;91;TA04/010
3215;3281;TA04/009A
307;307;TL04/022
1863;1910;TL04/023
606;606;TL04/025
872;886;TL04/026
335;357;A 06/022
0;0;TJ01/040
689;689;TJ02/032
542;561;TJ02/038B
261;274;TK04/003
264;268;PS01/048
179;191;F 03/002
1197;1197;F 03/003
324;349;F 03/005
452;473;F 03/025
143;143;F 03/022
809;833;F 03/023
414;428;F 02/058
0;0;C 02/008
0;0;C 02/009
57;58;B 04/023
92;92;B 05/026
0;0;C 02/010
197;199;B 05/027
459;459;C 02/011
1065;1090;C 05/001
1477;1541;K 02/018
790;840;K 03/003
984;1038;F 01/003A
225;227;A 02/007
764;779;D 01/048
889;904;GA03/008
977;1003;A 06/035
388;484;K 08/021
1136;1157;K 05/025
1442;1460;C 05/008
205;209;F 01/037
1538;1585;I 01/012
1153;1153;D 04/007
2146;2196;C 04/014
1368;1396;C 04/015
731;746;C 01/024
2111;2154;B 08/035
307;332;B 06/034
2598;2598;TB10/003
857;860;PS02/039U
2566;2631;PS02/039T
697;742;F 01/003B
1412;1417;A 02/015
3800;3895;TB10/008
1610;1640;TB05/021
1649;1650;TL03/009
1073;1074;TL03/039
885;889;TJ07/014
485;485;TL03/002
1708;1744;TJ10/002
368;393;TL04/033
468;468;TL02/027
1417;1417;TL03/023
680;736;M 08/019
989;1009;A 06/005
369;399;GA08/027
1430;1430;GA08/030
242;305;GA05/003
1735;1775;A 02/027
1618;1640;TJ02/039B
3129;3129;A 02/046
2501;2566;A 02/068
1688;1688;A 02/069
1872;1872;TJ01/051
614;625;A 05/020
1590;1663;H 05/020
1573;1653;B 02/001
484;560;GA08/035
1466;1467;B 06/001
508;540;I 01/010
2031;2079;K 08/026
2436;2489;PS01/046
1139;1139;C 01/051
454;454;F 01/005
2022;2072;C 02/016
1387;1407;C 07/010
262;262;C 08/006
1516;1516;C 02/051
75;80;C 02/012
1353;1386;C 02/076
1600;1600;C 02/044
312;339;C 04/035
736;736;C 06/023
554;566;C 02/014
1028;1054;C 07/019
899;924;C 02/071
73;73;C 03/019
444;472;F 04/012
1388;1424;F 01/003
980;1010;C 02/041
339;351;K 06/016
655;674;K 06/017
585;585;K 06/018
199;201;K 06/019
294;294;K 06/020
630;635;K 06/021
525;527;K 06/022
250;279;K 05/015
1182;1214;E 03/005
3219;3270;K 08/003
309;365;K 03/002
503;517;H /001
1596;1596;A 06/024
1439;1471;TJ02/037A
305;322;PS02/039P
2060;2075;PS02/039O
1217;1217;C 01/022
1668;1691;TL04/034
6407;6686;TC03/018A
113;113;B 04/024
434;476;F 01/020
673;673;A 07/025
16;17;F 02/080
3141;3226;TA04/011A
1037;1104;F 01/003A
838;881;I 01/015
1353;1382;TJ07/001
757;775;A 02/028
393;393;F 02/002
1059;1084;F 02/003
805;825;B 07/029
495;531;F 01/005
1057;1062;A 05/001
631;638;A 03/026
86;106;TL02/016
684;699;C 05/006
647;648;A 02/018B
168;194;TL03/026
622;639;TL02/049
225;225;TL02/052
144;153;TL02/023
299;321;TL02/032
193;223;TL03/045
980;1002;A 02/033
866;867;TB10/037
2316;2328;D 01/010
1165;1195;F 01/011
163;179;C 07/030
61;61;C 08/008
940;966;C 03/003
932;946;C 08/007
148;162;C 02/007
405;423;C 03/011
164;175;C 07/026
715;715;F 04/009
854;863;C 07/018
186;186;C 02/034
209;243;C 02/040
712;720;C 02/002
1117;1140;C 04/025
0;0;C 02/035
844;856;C 02/050
1292;1313;C 05/034
945;982;TB09/038
2252;2305;TB03/047
1493;1538;B 08/033A
5422;5650;H 02/027
1991;2041;GC02/014
814;866;TL02/034
514;544;TL02/022
372;372;TF02/022
700;700;TB10/009
1112;1133;K 08/009
1284;1309;TK06/002
3702;3725;TK03/003
878;961;TL04/041
55;55;TL04/045
80;88;TL03/021
372;372;F 04/011
460;480;F 05/002
505;520;C 05/012
726;729;C 02/003A
3048;3099;A 02/067
375;388;A 01/041
396;396;TA04/011
2120;2120;A 06/001
1225;1250;D 02/018A
2402;2476;K 05/023
2662;2733;K 04/020
139;139;TF02/016
1470;1515;TB10/007
4153;4223;GB02/001
981;1011;B 09/022
1149;1169;AA01/047
439;453;AA03/016
1757;1834;C 04/015
873;917;TM01/006
3001;3077;G 01/005
681;697;A 05/008
1976;2022;H 06/008
275;288;TK03/048
634;634;D 01/009
641;680;E 02/036
785;800;B 02/046
644;693;TL04/039
578;606;K 04/011
2477;12;J 01/021
1256;1267;J 02/042
1549;1608;K 08/011
2300;2330;TK07/005
785;845;C 04/030
891;922;C 01/049
347;359;C 05/011
505;510;C 03/015
629;646;C 04/005
4878;4978;C 08/016
331;355;C 03/014
100;122;C 05/010
1648;1685;C 03/032
881;900;C 07/012
159;159;C 08/003
945;965;C 07/014
677;691;C 03/023
890;913;TK07/003
1399;1440;TK07/010
1139;1171;D 01/024
1547;1611;PS01/020
1474;1507;TF02/031
1235;1364;TL02/040
270;272;TJ11/002
2406;2463;TH02/006
547;560;H 10/019
7934;8098;TJ06/012
1345;1386;F 01/006
216;217;A 02/051
1922;1965;TC03/009
130;145;A 02/022
555;555;A 02/006
1064;1085;B 11/010
477;504;CC /002
815;819;B 04/025
665;713;TB10/010
528;561;PS01/022A
728;734;TF03/029
1751;1768;TB10/002
2846;2911;A 02/024
490;533;A 02/021
2808;2828;A 05/016
1951;2002;A 05/017
2011;2029;A 06/017
1997;2053;A 06/006
598;621;A 06/025
896;917;D 02/010
1834;1902;TJ10/008
998;1035;TJ11/003
502;521;B 08/031
2640;2683;K 03/005
1330;1345;C 02/008
928;928;C 07/021
1878;1896;K 08/029
575;607;TL03/053
450;450;TL04/016
363;367;C 07/005
799;809;C 02/046
138;149;E 04/011
865;880;C 02/011
1584;1667;F 01/021
1064;1100;F 01/019
2814;2814;B 02/003
428;434;K 05/006
321;352;C 04/012
1006;1011;TL03/042
404;404;C 01/017
426;472;GC06/016
2153;2196;F 02/068
618;641;B 10/017
2975;2995;K 02/010
2195;2254;GA08/038A
675;675;B 10/007
355;386;B 05/005
4;4;CB /018
273;281;C 07/012
1724;1724;C 06/021
643;643;C 03/022
392;427;C 02/006
686;686;C 02/053
47;55;F 04/010
1247;1259;C 05/003
3062;3074;C 04/002
632;640;C 02/052
1486;1557;TA04/008A
250;273;K 02/036
660;689;PS01/050L
126;141;PS02/039S
2208;2248;TB12/015
138;148;E 01/042
1011;1037;F 05/006
764;775;F 01/002
289;308;F 02/002
310;331;C 05/014
1930;1969;E 04/003
521;523;C 04/008
147;147;TF03/016
298;336;TF03/006
196;196;TB10/029
1117;1141;TB10/034
571;571;TB05/023
1110;1138;TF02/021
110;116;C 01/006
83;85;TL02/050
965;995;TL04/002
602;634;TL04/011
1135;1158;D 02/036
317;337;TH04/005
1969;1978;TL04/028
771;775;D 01/006A
821;827;D 02/009
895;918;A 02/084
534;563;D 01/047
111;127;TJ09/001
1840;1858;TJ06/049
308;325;E 02/041
720;781;TB10/035
5576;5639;F 01/002
702;722;H 01/026
396;417;F 02/073
918;1022;C 06/015A
2359;2393;F 02/071
334;351;TF02/025A
511;522;TF04/006
972;1007;TK07/002
268;296;F 01/022
1271;1350;F 01/032
255;265;B 05/003
79;85;B 07/030
356;372;B 07/014
494;503;C 03/029
738;747;C 02/018
80;80;C 02/017
1;1;C 08/002
1446;1479;F 03/003
814;815;C 02/068
1846;1866;C 04/026
1256;1279;F 06/001
930;967;F 03/006
701;701;C 06/003
389;392;D 08/041
3184;3229;K 03/023
0;0;C 02/032
1411;1438;C 02/080
335;336;L /002
142;192;L /006
2346;2409;B 02/022
862;878;B 08/002
1170;1200;A 02/080
1072;1092;A 04/033
181;295;B 02/017
388;417;TL03/054
2580;2801;K /009
204;212;K /008
866;871;K /003
1829;1839;K /002
605;658;TB10/031
381;383;A 02/009
3450;3472;K 04/012
2931;3024;A 02/060
1091;1202;A 01/005
587;627;D 04/011
693;709;WL09/015
914;931;WL09/012
235;235;C 07/008
66;66;C 04/007
1005;1025;F 05/005
700;735;TB10/012
84;84;C 02/019
524;524;C 03/026
164285;164787;CW /001
840;862;K 05/002
4256;4258;K 05/019
2563;2631;K 08/020
802;845;K 03/009
2398;2445;TK07/012A
511;522;TK07/019
105;118;AA02/028
539;570;C 05/005
540;580;TL03/011
1447;1484;D 04/012
67;71;TJ03/036
63;63;L /005
756;3;TK04/033
231;267;TK03/029
309;318;TK03/031
71;101;TK03/047
439;443;TK03/046
4406;4417;TK02/006
571;607;A 06/021
2576;0;D 05/010
498;537;TJ01/047
1544;1544;F 02/019
1295;1307;F 02/072
2064;2142;H 04/002
76;78;F 02/031
699;705;B 09/043
563;572;B 04/002
850;869;F 02/023
556;563;A 04/005
309;309;TK07/020
150;224;TB05/022
278;301;TK07/012
162;162;WL09/011
304;333;TL02/048
1055;1055;I 01/017
35;52;WL08/008
1163;1196;TB05/018
1268;1279;F 02/020
293;294;A 06/007
270;270;F 02/006
79;110;C 05/018
47;47;AA03/012
151;151;K 05/033
480;482;D /022
13951;13954;X /026
66;68;TL03/032
1850;1850;TF05/012
321;352;C 04/006
504;549;TB10/011
764;764;TB10/028
2040;2088;TB04/002
1571;1604;TB09/009
112;305;C 02/079
1868;1888;I 01/014A
3013;3110;I /012
117;124;I /018
1242;1273;TJ09/032
1605;1643;TJ10/005
1819;1866;TJ06/027
1753;1762;TC04/002
179;192;A 02/020A
1377;1403;A 06/011A
848;888;PS01/058
1689;1727;E 01/001
2957;3019;DR02/002
523;523;DR03/026
1131;1221;TL04/001
737;759;TL04/010
823;823;TL04/015
564;578;TF02/020
1278;1305;K 04/012
3150;3195;J 01/020
955;974;TF02/018
370;391;D 07/006
19895;20068;UC /001
4811;4840;K 07/001
1244;1271;TK03/079
497;526;TL03/037
1385;1397;B 10/006
817;846;B 05/029
909;929;B 05/002
1930;1955;B 10/020
282;297;B 10/021
791;816;A 02/020B
849;849;B 09/009
153;153;TK07/015
6781;7220;B 01/021
4558;4897;I 04/020
30245;30412;H 02/021
971;1014;I 01/006
3079;3086;GB02/002
8499;8614;GB02/003
2361;2555;GB01/022
4545;4631;GB01/021
2465;2504;GA07/028
2713;2748;GA03/003
1215;1215;GA02/028
745;810;B 04/018A
1525;1555;B 08/045
1216;1269;PS02/039F
2861;2905;PS01/050S
500;540;A 01/003A
2173;2173;A 01/006
230;230;A 02/075
5043;5144;D 01/003
107;107;D 01/005
1662;1706;D 02/018
956;956;A 01/045
515;515;C 03/002
1067;1096;C 04/031
292;292;C 03/021
1876;1915;C 03/020
9;9;F 01/015
155;155;C 04/032
931;947;K 02/053
714;744;K 05/002
1262;1269;E 01/083
1012;1027;TK04/026
2269;2311;C 05/003
773;785;TL04/005
3285;3298;K 01/023
97;109;TL03/003
2744;2761;F 02/025
271;298;TL02/024
872;889;D 06/044
3203;3331;TA04/017
23576;24215;F 03/002
2371;2410;K 07/018
1686;1717;K 05/020
68;76;K 05/021
875;944;K 05/022
43;44;K 03/008
257;267;K 02/025
983;993;K 05/017
4208;4314;TB10/021
1300;1303;A 03/028
809;809;A 04/019
189;197;K 01/002
1496;1531;TH04/007
385;385;C 06/018
1209;1209;E 05/008
1009;1030;C 04/006
63;63;C 03/018
392;400;TK06/003
1014;1036;A 02/056
1491;1492;PS03/002
1279;1303;TF02/010
457;474;F 02/028
734;747;TB05/020
1059;1087;K 02/008
1059;1079;K 04/008
1007;1007;TB10/030
1464;1486;WL08/002
193;224;TK03/076
509;526;TF03/015
1002;1002;I 01/011
233;253;E 01/070
583;613;C 07/020
1503;1518;A 01/007A
3036;3089;A 06/010
1301;1379;C 08/010
38;60;C 05/025
1001;1014;K 04/007
469;497;AA01/044
203;220;K 05/003
6565;6653;E 01/002
219;7;F 03/005
2235;2275;K 05/022
51;51;K 02/031
1073;1093;A 04/012
427;443;D 07/005
952;994;A 04/016
2413;2457;A 02/058
879;920;C 02/077
1003;1027;C 02/078
186;186;C 06/026
316;346;TJ10/001
1378;1420;TB10/016
474;474;TK03/055
2176;2220;TL04/012
353;385;F 04/005
2555;2604;D 01/045
351;353;TJ09/032A
719;737;TJ09/001A
891;928;TJ09/017
8170;8180;TK02/015
1855;1893;TJ06/022
690;743;TJ06/010
1030;1057;TJ02/037
461;492;TJ01/041
831;831;TJ01/038
4745;4949;A 01/016
426;455;F 04/008
1704;1726;B 10/016
1914;1914;TK07/018
766;772;WL09/010
142;196;TF03/017
349;384;TF03/019
933;960;K 04/012A
5063;5076;RP08/010
595;645;RP08/011
522;564;I 01/020
1084;1104;K 05/025
664;694;A 02/020
440;440;PS04/006A
761;773;C 04/009
1088;1103;C 04/016
377;410;GA08/033
1237;1244;TL03/043
233;253;TL03/051
375;375;TF02/023
1495;1594;K 02/022
5034;5508;G 02/003
598;662;C 04/011
1342;1377;TK06/018
1590;1624;C 05/006
1937;2001;TL04/018
1064;1082;GA03/011
303;324;C 02/020
1503;1572;PS01/043
143;172;A 06/008
441;464;TB11/007
1064;1079;TK04/025
642;642;D 01/001
335;350;GC04/012
686;745;GB01/015
260;277;B 10/012
1245;1274;C 02/001
460;500;D 01/034
239;240;F 03/021
165;165;TJ11/006
144;156;TL03/031
