m_mtrlalu;mtrakhir;blokno
0;6;GV06/001
8;17;WL09/001
17;51;E 03/016
205;395;NH /012
0;0;NI /006
0;0;H 05/003
0;0;H 05/021
0;0;H 05/015A
17;55;GE05/006
12;12;OW07/012
67;85;OW01/006
8;33;A 03/009A
10;11;BV06/005
0;0;CG09/028
8;8;CM11/037
1;2;CG10/008
7;7;CG06/017
2;6;NA05/006
35;54;NB02/071
7;11;NB02/101
0;0;NC01/028
6;6;NC02/010
8;8;ND03/016
2;5;NE02/033
0;0;NE02/052
1;1;NE03/039
0;0;K 01/025
12;12;NE03/070
3;3;NE03/058
1;1;NE03/079
1;1;NE07/023
4;4;NE07/006
3;3;NE09/005
1;1;NE09/001
1;1;NE09/015
15;15;NE09/017
1;1;NE09/011
15;15;NE09/016
1;1;NE10/017
8;8;NE10/010
10;10;NE10/009
1;1;NE11/019
4;4;NE11/012
2;2;NE12/026
6;6;NF02/011
3;3;NF02/033
2;2;NF03/003
7;7;NF03/028
2;2;NF07/003
1;1;NF07/001
3;3;NF10/028
1;1;NF10/011
1;1;NF11/028
1;5;NF11/029
14;16;NG02/005
1;1;NG02/003
1;1;NG02/023
1;1;NG03/005
1;1;NG03/020
0;1;NG05/018
0;0;NG05/029
1;1;NG07/025
0;0;NG07/053
1;2;NG08/030
3;3;NG08/031
2;2;NG08/036
0;0;NG09/053
1;1;NG10/010
1;1;NG10/018
2;2;NG10/001
3;6;NG10/051
1;1;NG11/003
0;0;NG11/036
0;0;NG11/038
43;43;NG12/009
16;16;NG12/015
14;14;NG15/030
3;3;NG15/038
0;0;NG15/039
10;10;NG16/026
51;51;NG16/025
3;3;NG16/023
23;23;NG16/018
12;12;NG17/009
15;20;NG17/020
4;4;NG17/057
29;129;NG18/027
8;11;NG18/035
3;3;NG18/050
4;4;NG18/018
19;19;NG18/020
16;16;NG18/026
3;3;NG19/059
3;3;NG19/060
4;4;NG20/037
0;0;NG20/032
7;18;NG20/029
3;3;NG20/028
1;2;NG20/026
3;3;NG20/011
3;3;NG20/015
4;4;NG20/016
2;2;NG20/017
6;6;NG20/021
2;2;NG20/025
9;13;NG20/053
